18,1627,19,1,0
40,1627,41,2,1
326,1664,327,2,1
348,1664,349,2,1
810,1752,811,2,1
832,1752,833,2,1
1118,1789,1119,2,1
1140,1789,1141,2,1
1590,1715,312,0,4
1608,1824,138,0,4
1624,1749,161,0,4
1627,1752,204,0,4
1628,1753,161,0,4
1629,1754,248,0,4
1630,1755,204,0,4
1631,1756,161,0,4
1632,1757,161,0,4
1633,1758,161,0,4
1634,1759,205,0,4
1635,1760,248,0,4
1636,1761,205,0,4
1637,1762,205,0,4
1638,1763,205,0,4
1639,1764,249,0,4
1640,1765,227,0,4
1641,1766,249,0,4
1642,1767,249,0,4
1643,1768,249,0,4
1644,1769,293,0,4
1645,1770,292,0,4
1646,1771,249,0,4
1647,1772,336,0,4
1648,1773,249,0,4
1650,1775,336,0,4
1651,1776,293,0,4
1652,1777,293,0,4
1654,1779,337,0,4
1655,1780,315,0,4
1656,1781,337,0,4
1657,1782,337,0,4
1658,1783,337,0,4
1660,1785,359,0,4
1661,1684,599,0,4
1662,1787,381,0,4
1664,1677,796,0,4
1674,1799,469,0,4
1676,1801,469,0,4
1677,1664,796,0,4
1677,1802,469,0,4
1678,1803,469,0,4
1680,1805,512,0,4
1684,1661,600,0,4
1685,1810,556,0,4
1690,1815,600,0,4
1695,1820,579,0,4
1696,1821,557,0,4
1699,1733,929,0,4
1703,1828,601,0,4
1715,1590,711,0,4
1733,1699,930,0,4
1749,1624,1368,0,4
1752,1627,1368,0,4
1753,1628,1368,0,4
1754,1629,1433,0,4
1755,1630,1368,0,4
1756,1631,1368,0,4
1757,1632,1368,0,4
1758,1633,1433,0,4
1759,1634,1412,0,4
1760,1635,1368,0,4
1761,1636,1412,0,4
1762,1637,1412,0,4
1763,1638,1412,0,4
1764,1639,1456,0,4
1765,1640,1412,0,4
1766,1641,1456,0,4
1767,1642,1456,0,4
1768,1643,1456,0,4
1769,1644,1500,0,4
1770,1645,1456,0,4
1771,1646,1521,0,4
1772,1647,1521,0,4
1773,1648,1521,0,4
1775,1650,1456,0,4
1776,1651,1500,0,4
1777,1652,1500,0,4
1779,1654,1544,0,4
1780,1655,1500,0,4
1781,1656,1544,0,4
1782,1657,1544,0,4
1783,1658,1544,0,4
1785,1660,1544,0,4
1786,1809,1391,0,4
1787,1662,4,0,4
1789,1802,4,0,4
1799,1674,92,0,4
1801,1676,92,0,4
1802,1677,92,0,4
1802,1789,4,0,4
1803,1678,92,0,4
1805,1680,92,0,4
1809,1786,1392,0,4
1810,1685,136,0,4
1815,1690,136,0,4
1820,1695,180,0,4
1821,1696,245,0,4
1824,1608,137,0,4
1828,1703,289,0,4
