0,Control-Center-0,48.139142,16.432986,0.000000,4090018.898074,1206317.099425,4727213.499768
1,Ground-Station-0,50.333416,8.479418,0.000000,4034791.370689,601521.924462,4886543.744037
2,Substation-0-0,47.272500,12.759444,0.000000,4228420.357353,957526.521679,4662371.763579
3,Substation-0-1,48.305833,14.286389,0.000000,4118938.214729,1048862.192953,4739562.344956
4,Substation-0-2,47.070833,15.438611,0.000000,4194890.007590,1158507.148260,4647130.456855
5,Control-Center-1,48.139142,23.632986,0.000000,3906576.254659,1709420.222622,4727213.499768
6,Ground-Station-1,50.333416,15.679418,0.000000,3927585.147744,1102472.193667,4886543.744037
7,Substation-1-0,47.272500,19.959444,0.000000,4075068.104681,1479937.735312,4662371.763579
8,Substation-1-1,48.305833,21.486389,0.000000,3955001.866433,1556831.446585,4739562.344956
9,Substation-1-2,47.070833,22.638611,0.000000,4016612.599928,1675131.102465,4647130.456855
10,Control-Center-2,48.139142,30.832986,0.000000,3661524.570032,2185564.767749,4727213.499768
11,Ground-Station-2,50.333416,22.879418,0.000000,3758438.560795,1586035.817793,4886543.744037
12,Substation-2-0,47.272500,27.159444,0.000000,3857449.593672,1979009.446788,4662371.763579
13,Substation-2-1,48.305833,28.686389,0.000000,3728692.776099,2040248.538299,4739562.344956
14,Substation-2-2,47.070833,29.838611,0.000000,3774990.812158,2165337.238509,4647130.456855
15,Control-Center-3,48.139142,38.032986,0.000000,3358728.455646,2627241.650896,4727213.499768
16,Ground-Station-3,50.333416,30.079418,0.000000,3530019.152559,2044586.709621,4886543.744037
17,Substation-3-0,47.272500,34.359444,0.000000,3578996.798241,2446870.997085,4662371.763579
18,Substation-3-1,48.305833,35.886389,0.000000,3443579.973273,2491489.691778,4739562.344956
19,Substation-3-2,47.070833,37.038611,0.000000,3473835.164209,2621394.712791,4647130.456855
20,Control-Center-4,48.139142,45.232986,0.000000,3002963.187108,3027485.363770,4727213.499768
21,Ground-Station-4,50.333416,37.279418,0.000000,3245929.233556,2470893.247662,4886543.744037
22,Substation-4-0,47.272500,41.559444,0.000000,3244101.085313,2876143.930068,4662371.763579
23,Substation-4-1,48.305833,43.086389,0.000000,3104159.857174,2903438.564474,4739562.344956
24,Substation-4-2,47.070833,44.238611,0.000000,3117895.060553,3036111.226508,4647130.456855
25,Control-Center-5,48.139142,52.432986,0.000000,2599839.395227,3379983.823926,4727213.499768
26,Ground-Station-5,50.333416,44.479418,0.000000,2910649.071515,2858232.323146,4886543.744037
27,Substation-5-0,47.272500,48.759444,0.000000,2858043.960338,3260058.355148,4662371.763579
28,Substation-5-1,48.305833,50.286389,0.000000,2715785.285792,3269598.476578,4739562.344956
29,Substation-5-2,47.070833,51.438611,0.000000,2712783.889251,3402946.452498,4647130.456855
30,Control-Center-6,48.139142,59.632986,0.000000,2155714.583013,3679177.920074,4727213.499768
31,Ground-Station-6,50.333416,51.679418,0.000000,2529466.234880,3200495.367470,4886543.744037
32,Substation-6-0,47.272500,55.959444,0.000000,2426913.774795,3592559.712504,4662371.763579
